nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;5313;5850;649;315.0;0.0;334.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5369;5850;649;296.0;0.0;353.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3936;5850;649;335.0;0.0;314.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4058;5850;649;338.0;0.0;311.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4126;5850;649;315.0;0.0;334.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4272;5850;649;307.0;0.0;342.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4391;5850;649;299.0;0.0;350.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4290;5850;649;299.0;0.0;350.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4116;5850;649;318.0;0.0;331.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4155;5850;649;308.0;0.0;341.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;4402;5850;649;313.0;0.0;336.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
